file_path,relative_path,file_size_bytes,page_count,pdfinfo_pages,total_chars,total_words,pages_with_text,pages_with_full_page_image,avg_image_coverage,max_image_coverage,image_count,font_count,pdffonts_count,status,recommended_extractor,reason
预调研/政策文件/01_大气污染防治行动计划_2013_国务院.pdf,预调研/政策文件/01_大气污染防治行动计划_2013_国务院.pdf,409895,11,11,10416,347,11,0,0.0,0.0,0,3,5,native_text,fitz/pdfplumber,text on 11/11 pages; avg chars/page=946.9
预调研/政策文件/02_水污染防治行动计划_2015_国务院.pdf,预调研/政策文件/02_水污染防治行动计划_2015_国务院.pdf,530041,17,17,16744,546,17,0,0.0,0.0,0,5,8,native_text,fitz/pdfplumber,text on 17/17 pages; avg chars/page=984.9
预调研/政策文件/03_土壤污染防治行动计划_2016_国务院.pdf,预调研/政策文件/03_土壤污染防治行动计划_2016_国务院.pdf,684312,17,17,14168,447,17,0,0.0,0.0,0,4,7,native_text,fitz/pdfplumber,text on 17/17 pages; avg chars/page=833.4
预调研/政策文件/04_环境保护税法_2016.pdf,预调研/政策文件/04_环境保护税法_2016.pdf,1635959,16,16,3709,229,11,2,0.251,1.0,6,4,4,mixed_layer_partial_ocr,fitz + page-level OCR fallback,text on 11/16 pages; mixed text/image layers likely
预调研/政策文件/05_碳排放权交易管理办法_2021_生态环境部.pdf,预调研/政策文件/05_碳排放权交易管理办法_2021_生态环境部.pdf,199699,11,11,5268,322,11,0,0.0012,0.0011840176977575257,11,6,6,native_text,fitz/pdfplumber,text on 11/11 pages; avg chars/page=478.9
预调研/政策文件/06_环境保护法_2014修订.pdf,预调研/政策文件/06_环境保护法_2014修订.pdf,308127,10,10,10392,445,10,0,0.0006,0.0031398701573440058,6,11,11,native_text,fitz/pdfplumber,text on 10/10 pages; avg chars/page=1039.2
预调研/政策文件/07_绿色低碳循环发展经济体系指导意见_2021_国务院.pdf,预调研/政策文件/07_绿色低碳循环发展经济体系指导意见_2021_国务院.pdf,390986,11,11,6442,266,11,0,0.0,0.0,0,4,8,native_text,fitz/pdfplumber,text on 11/11 pages; avg chars/page=585.6
预调研/政策文件/08_排污许可管理条例_2021_国务院.pdf,预调研/政策文件/08_排污许可管理条例_2021_国务院.pdf,700049,19,19,8648,522,19,0,0.0,0.0,0,8,13,native_text,fitz/pdfplumber,text on 19/19 pages; avg chars/page=455.2
预调研/政策文件/09_企业环境信息依法披露管理办法_2021_生态环境部.pdf,预调研/政策文件/09_企业环境信息依法披露管理办法_2021_生态环境部.pdf,318918,9,9,4551,265,9,0,0.0,0.0,0,5,9,native_text,fitz/pdfplumber,text on 9/9 pages; avg chars/page=505.7
预调研/政策文件/10_北京市大气污染防治条例_2014.pdf,预调研/政策文件/10_北京市大气污染防治条例_2014.pdf,672142,11,11,14767,524,11,0,0.0,0.0,0,10,10,native_text,fitz/pdfplumber,text on 11/11 pages; avg chars/page=1342.5
